Model_A,AUC_A,Model_B,AUC_B,Z_statistic,p_value,Significance
SVM-LFP,0.9968,RF-LFP,0.9981,-0.8419,0.399845,ns
SVM-LFP,0.9968,XGB-LFP,0.9985,-1.1247,0.260699,ns
SVM-LFP,0.9968,XGB-BBB,0.7533,10.5346,0.000000,***
SVM-LFP,0.9968,XGB-Fusion,0.9984,-1.0525,0.292565,ns
RF-LFP,0.9981,XGB-LFP,0.9985,-0.4349,0.663658,ns
RF-LFP,0.9981,XGB-BBB,0.7533,10.6060,0.000000,***
RF-LFP,0.9981,XGB-Fusion,0.9984,-0.3197,0.749215,ns
XGB-LFP,0.9985,XGB-BBB,0.7533,10.6243,0.000000,***
XGB-LFP,0.9985,XGB-Fusion,0.9984,0.1162,0.907497,ns
XGB-BBB,0.7533,XGB-Fusion,0.9984,-10.6197,0.000000,***
