feature,display_name,mean_abs_shap,modality
lfp_rms,LFP: rms,1.1902099,LFP
lfp_high_beta_power,LFP: high_beta_power,0.9614948,LFP
lfp_skewness,LFP: skewness,0.77553946,LFP
lfp_perm_entropy,LFP: perm_entropy,0.60945797,LFP
lfp_rms_std,LFP: rms_std,0.57268286,LFP
lfp_aperiodic_slope_std,LFP: aperiodic_slope_std,0.429378,LFP
lfp_aperiodic_intercept_std,LFP: aperiodic_intercept_std,0.40673578,LFP
bbb_plasma_albumin,BBB: plasma_albumin,0.265073,BBB
lfp_hjorth_mobility_std,LFP: hjorth_mobility_std,0.19886921,LFP
bbb_tau_abeta_ratio,BBB: tau_abeta_ratio,0.19155745,BBB
bbb_tau,BBB: tau,0.17960934,BBB
lfp_alpha_power,LFP: alpha_power,0.14228402,LFP
lfp_low_beta_rel_power_std,LFP: low_beta_rel_power_std,0.12545931,LFP
bbb_s100,BBB: s100,0.114935346,BBB
lfp_cwt_max_energy_std,LFP: cwt_max_energy_std,0.10932278,LFP
lfp_high_beta_rel_power,LFP: high_beta_rel_power,0.100622766,LFP
lfp_peak_beta_freq,LFP: peak_beta_freq,0.0761347,LFP
lfp_alpha_power_std,LFP: alpha_power_std,0.07298124,LFP
bbb_amyloid_beta,BBB: amyloid_beta,0.069235876,BBB
lfp_sample_entropy,LFP: sample_entropy,0.06591097,LFP
lfp_variance_std,LFP: variance_std,0.06402483,LFP
lfp_low_beta_power_std,LFP: low_beta_power_std,0.059699323,LFP
lfp_beta_burst_mean_dur_ms,LFP: beta_burst_mean_dur_ms,0.058143407,LFP
lfp_beta_burst_mean_dur_ms_std,LFP: beta_burst_mean_dur_ms_std,0.057468064,LFP
bbb_serum_igf1,BBB: serum_igf1,0.05261524,BBB
lfp_cwt_mean_energy_std,LFP: cwt_mean_energy_std,0.041134898,LFP
lfp_beta_power_std,LFP: beta_power_std,0.03792504,LFP
lfp_variance,LFP: variance,0.032074664,LFP
bbb_serum_albumin,BBB: serum_albumin,0.030068886,BBB
bbb_qalb_nfl_ratio,BBB: qalb_nfl_ratio,0.02960752,BBB
lfp_low_beta_rel_power,LFP: low_beta_rel_power,0.029561931,LFP
lfp_zero_crossing_rate,LFP: zero_crossing_rate,0.029463127,LFP
bbb_gfap,BBB: gfap,0.029409423,BBB
lfp_beta_burst_count,LFP: beta_burst_count,0.027667487,LFP
lfp_gamma_power_std,LFP: gamma_power_std,0.026457047,LFP
lfp_cwt_std_energy,LFP: cwt_std_energy,0.02421399,LFP
bbb_gfap_nfl_ratio,BBB: gfap_nfl_ratio,0.023267739,BBB
bbb_wbc,BBB: wbc,0.022581004,BBB
lfp_cwt_std_energy_std,LFP: cwt_std_energy_std,0.018875068,LFP
lfp_skewness_std,LFP: skewness_std,0.018024178,LFP
bbb_alpha_synuclein,BBB: alpha_synuclein,0.016696693,BBB
lfp_hjorth_complexity,LFP: hjorth_complexity,0.016057862,LFP
lfp_perm_entropy_std,LFP: perm_entropy_std,0.012943267,LFP
bbb_il6,BBB: il6,0.012262099,BBB
lfp_spectral_entropy_std,LFP: spectral_entropy_std,0.011367782,LFP
lfp_zero_crossing_rate_std,LFP: zero_crossing_rate_std,0.009751675,LFP
lfp_hjorth_activity_std,LFP: hjorth_activity_std,0.008833241,LFP
bbb_csf_igg,BBB: csf_igg,0.007917107,BBB
lfp_low_beta_power,LFP: low_beta_power,0.0071472996,LFP
lfp_beta_burst_count_std,LFP: beta_burst_count_std,0.0045149312,LFP
lfp_alpha_rel_power_std,LFP: alpha_rel_power_std,0.0037451729,LFP
bbb_total_protein,BBB: total_protein,0.003547204,BBB
bbb_csf_albumin,BBB: csf_albumin,0.003455135,BBB
lfp_kurtosis_val_std,LFP: kurtosis_val_std,0.0024560746,LFP
bbb_inflammation_score,BBB: inflammation_score,0.0021771835,BBB
lfp_gamma_rel_power_std,LFP: gamma_rel_power_std,0.0019268595,LFP
lfp_beta_rel_power,LFP: beta_rel_power,0.0008008724,LFP
lfp_gamma_rel_power,LFP: gamma_rel_power,0.0,LFP
lfp_high_beta_power_std,LFP: high_beta_power_std,0.0,LFP
lfp_gamma_power,LFP: gamma_power,0.0,LFP
lfp_beta_rel_power_std,LFP: beta_rel_power_std,0.0,LFP
lfp_beta_power,LFP: beta_power,0.0,LFP
lfp_theta_power_std,LFP: theta_power_std,0.0,LFP
lfp_alpha_rel_power,LFP: alpha_rel_power,0.0,LFP
lfp_theta_rel_power_std,LFP: theta_rel_power_std,0.0,LFP
lfp_theta_rel_power,LFP: theta_rel_power,0.0,LFP
lfp_theta_power,LFP: theta_power,0.0,LFP
lfp_high_beta_rel_power_std,LFP: high_beta_rel_power_std,0.0,LFP
lfp_peak_beta_freq_std,LFP: peak_beta_freq_std,0.0,LFP
lfp_beta_burst_mean_amp,LFP: beta_burst_mean_amp,0.0,LFP
lfp_aperiodic_slope,LFP: aperiodic_slope,0.0,LFP
lfp_aperiodic_intercept,LFP: aperiodic_intercept,0.0,LFP
lfp_hjorth_mobility,LFP: hjorth_mobility,0.0,LFP
lfp_hjorth_complexity_std,LFP: hjorth_complexity_std,0.0,LFP
lfp_kurtosis_val,LFP: kurtosis_val,0.0,LFP
lfp_hjorth_activity,LFP: hjorth_activity,0.0,LFP
lfp_beta_burst_mean_amp_std,LFP: beta_burst_mean_amp_std,0.0,LFP
lfp_spectral_entropy,LFP: spectral_entropy,0.0,LFP
bbb_igg_index,BBB: igg_index,0.0,BBB
lfp_cwt_max_energy,LFP: cwt_max_energy,0.0,LFP
lfp_sample_entropy_std,LFP: sample_entropy_std,0.0,LFP
bbb_nfl_tau_ratio,BBB: nfl_tau_ratio,0.0,BBB
lfp_cwt_beta_energy,LFP: cwt_beta_energy,0.0,LFP
lfp_cwt_beta_energy_std,LFP: cwt_beta_energy_std,0.0,LFP
lfp_approx_entropy_std,LFP: approx_entropy_std,0.0,LFP
lfp_approx_entropy,LFP: approx_entropy,0.0,LFP
lfp_cwt_mean_energy,LFP: cwt_mean_energy,0.0,LFP
bbb_nfl,BBB: nfl,0.0,BBB
