Model,AUC-ROC,AUC-ROC 95% CI,AUC-PR,Accuracy,F1,Precision,Recall,5-Fold Mean AUC,5-Fold Std
SVM (RBF) - LFP,0.9968,[0.9936-0.9990],0.9991,0.9789,0.9861,0.9930,0.9793,0.9979,0.0017
Random Forest - LFP,0.9981,[0.9965-0.9992],0.9994,0.9736,0.9828,0.9845,0.9811,0.9981,0.0015
XGBoost - LFP,0.9985,[0.9971-0.9994],0.9995,0.9749,0.9837,0.9795,0.9880,0.9984,0.0016
1D-CNN - LFP,0.9706,[0.9470-0.9891],0.9825,0.9657,0.9779,0.9648,0.9914,0.9752,0.0146
LSTM - LFP,0.9724,[0.9513-0.9892],0.9843,0.9683,0.9794,0.9761,0.9828,0.9809,0.0131
XGBoost - BBB,0.7537,[0.7070-0.7976],0.8822,0.8203,0.8898,0.8407,0.9449,0.7524,0.0416
XGBoost Early Fusion,0.9984,[0.9970-0.9994],0.9995,0.9762,0.9846,0.9812,0.9880,0.9982,0.0018
LFP Transformer,0.9735,[0.9519-0.9904],0.9849,0.9657,0.9779,0.9648,0.9914,0.9770,0.0144
BBB MLP,0.7510,[0.7054-0.7930],0.8837,0.7886,0.8658,0.8445,0.8881,0.7582,0.0357
Cross-Attention Fusion*,0.9885,[0.9766-0.9969],0.9953,0.9670,0.9787,0.9696,0.9880,0.9946,0.0038
