Model,Fold,AUC,Accuracy,F1,N_test
SVM-LFP,1,0.9998,0.9934,0.9957,152
SVM-LFP,2,0.9995,0.9868,0.9914,152
SVM-LFP,3,0.9951,0.9669,0.9785,151
SVM-LFP,4,0.9970,0.9735,0.9825,151
SVM-LFP,5,0.9980,0.9735,0.9825,151
RF-LFP,1,0.9998,0.9934,0.9957,152
RF-LFP,2,0.9995,0.9803,0.9871,152
RF-LFP,3,0.9966,0.9536,0.9705,151
RF-LFP,4,0.9961,0.9669,0.9782,151
RF-LFP,5,0.9988,0.9735,0.9825,151
XGB-LFP,1,0.9998,0.9934,0.9957,152
XGB-LFP,2,0.9995,0.9803,0.9871,152
XGB-LFP,3,0.9975,0.9470,0.9664,151
XGB-LFP,4,0.9956,0.9603,0.9739,151
XGB-LFP,5,0.9995,0.9934,0.9957,151
XGB-BBB,1,0.7768,0.8355,0.8996,152
XGB-BBB,2,0.7431,0.8355,0.8963,152
XGB-BBB,3,0.6751,0.7881,0.8720,151
XGB-BBB,4,0.7899,0.8146,0.8862,151
XGB-BBB,5,0.7771,0.8278,0.8952,151
XGB-Fusion,1,0.9998,0.9868,0.9914,152
XGB-Fusion,2,0.9995,0.9868,0.9915,152
XGB-Fusion,3,0.9968,0.9603,0.9746,151
XGB-Fusion,4,0.9953,0.9603,0.9739,151
XGB-Fusion,5,0.9998,0.9868,0.9915,151
